date,horizon,n,median,mean,min,max,mode
20150617,2017,17,2.875,3.0,2.0,3.875,2.375
20150617,longer_run,17,3.75,3.647,3.25,4.25,3.75
20150917,2015,17,0.375,0.404,-0.125,0.875,0.375
20150917,2016,17,1.375,1.478,-0.125,2.875,1.125
20150917,2017,17,2.625,2.64,1.0,3.875,2.625
20150917,2018,17,3.375,3.338,2.875,3.875,2.875
20150917,longer_run,17,3.5,3.463,3.0,4.0,3.25
20151216,2015,17,0.375,0.346,0.125,0.375,0.375
20151216,2016,17,1.375,1.287,0.875,2.125,1.375
20151216,2017,17,2.375,2.412,1.875,3.375,1.875
20151216,2018,17,3.25,3.162,2.125,3.875,2.875
20151216,longer_run,17,3.5,3.412,3.0,4.0,3.25
20160316,2016,17,0.875,1.022,0.625,1.375,0.875
20160316,2017,17,1.875,2.044,1.625,2.75,1.875
20160316,2018,17,3.0,2.949,2.125,3.875,2.875
20160316,longer_run,17,3.25,3.309,3.0,4.0,3.25
20160615,2016,17,0.875,0.831,0.625,1.375,0.875
20160615,2017,17,1.625,1.632,0.625,2.375,1.375
20160615,2018,17,2.375,2.463,0.625,3.375,2.375
20160615,longer_run,16,3.0,3.141,2.75,3.75,3.0
20160921,2016,17,0.625,0.654,0.375,1.125,0.625
20160921,2017,17,1.125,1.309,0.625,2.125,1.125
20160921,2018,17,1.875,2.11,0.625,3.125,1.875
20160921,2019,17,2.625,2.647,0.625,3.75,2.625
20160921,longer_run,16,2.875,2.906,2.5,3.75,3.0
20161214,2016,17,0.625,0.625,0.625,0.625,0.625
20161214,2017,17,1.375,1.368,0.875,2.125,1.375
20161214,2018,17,2.125,2.228,0.875,3.375,1.875
20161214,2019,17,2.875,2.801,0.875,3.875,2.625
20161214,longer_run,16,3.0,2.953,2.5,3.75,3.0
20170315,2017,17,1.375,1.404,0.875,2.125,1.375
20170315,2018,17,2.125,2.316,0.875,3.375,2.125
20170315,2019,17,3.0,2.89,0.875,3.875,2.875
20170315,longer_run,16,3.0,2.969,2.5,3.75,3.0
20170614,2017,16,1.375,1.375,1.125,1.625,1.375
20170614,2018,16,2.125,2.227,1.125,3.125,2.125
20170614,2019,16,2.9375,2.852,1.125,4.125,2.625
20170614,longer_run,15,3.0,2.917,2.5,3.5,3.0
20170920,2017,16,1.375,1.328,1.125,1.625,1.375
20170920,2018,16,2.125,2.039,1.125,2.625,2.125
20170920,2019,16,2.6875,2.633,1.125,3.375,2.375
20170920,2020,16,2.875,2.852,1.125,3.875,2.875
20170920,longer_run,15,2.75,2.783,2.25,3.5,3.0
20171213,2017,16,1.375,1.344,1.125,1.375,1.375
20171213,2018,16,2.125,2.016,1.125,2.625,2.125
20171213,2019,16,2.6875,2.695,1.375,3.625,2.625
20171213,2020,16,3.0625,3.016,1.375,4.125,3.125
20171213,longer_run,15,2.75,2.783,2.25,3.0,2.75
20180321,2018,15,2.125,2.192,1.625,2.625,2.125
20180321,2019,15,2.875,2.917,1.625,3.875,2.875
20180321,2020,15,3.375,3.325,1.625,4.875,3.375
20180321,longer_run,14,2.875,2.866,2.25,3.5,3.0
20180613,2018,15,2.375,2.242,1.875,2.625,2.375
20180613,2019,15,3.125,2.958,1.875,3.625,2.875
20180613,2020,15,3.375,3.308,1.875,4.125,3.375
20180613,longer_run,14,2.875,2.866,2.25,3.5,3.0
20180926,2021,16,3.375,3.234,2.125,4.125,3.375
20180926,2020,16,3.375,3.281,2.125,3.875,3.625
20180926,2019,16,3.125,3.016,2.125,3.625,2.875
20180926,longer_run,15,3.0,2.883,2.5,3.5,3.0
20180926,2018,16,2.375,2.312,2.125,2.375,2.375
20181219,2020,17,3.125,3.066,2.375,3.625,2.875
20181219,2021,17,3.125,3.007,2.375,3.625,3.125
20181219,longer_run,16,2.75,2.844,2.5,3.5,2.75
20181219,2019,17,2.875,2.846,2.375,3.125,3.125
20181219,2018,17,2.375,2.346,2.125,2.375,2.375
20190320,2021,17,2.625,2.743,2.375,3.625,2.375
20190320,longer_run,16,2.75,2.797,2.5,3.5,2.5
20190320,2020,17,2.625,2.669,2.375,3.375,2.375
20190320,2019,17,2.375,2.493,2.375,2.875,2.375
20190619,longer_run,16,2.5,2.695,2.375,3.25,2.5
20190619,2020,17,2.125,2.213,1.875,3.125,1.875
20190619,2021,17,2.375,2.316,1.875,3.125,1.875
20190619,2019,17,2.375,2.169,1.875,2.625,2.375
20190918,longer_run,16,2.5,2.57,2.0,3.25,2.5
20190918,2022,17,2.375,2.272,1.625,2.875,2.375
20190918,2021,17,2.125,2.066,1.625,2.625,2.375
20190918,2020,17,1.875,1.875,1.625,2.375,1.625
20190918,2019,17,1.875,1.846,1.625,2.125,1.625
20191211,longer_run,16,2.5,2.539,2.0,3.25,2.5
20191211,2022,17,2.125,2.228,1.625,2.875,1.875
20191211,2021,17,1.875,1.963,1.625,2.375,1.625
20191211,2020,17,1.625,1.684,1.625,1.875,1.625
20191211,2019,17,1.625,1.625,1.625,1.625,1.625
20200610,longer_run,16,2.5,2.492,2.0,3.0,2.5
20200610,2022,17,0.125,0.199,0.125,1.125,0.125
20200610,2020,17,0.125,0.125,0.125,0.125,0.125
20200610,2021,17,0.125,0.125,0.125,0.125,0.125
20200916,longer_run,16,2.5,2.492,2.0,3.0,2.5
20200916,2023,17,0.125,0.257,0.125,1.375,0.125
20200916,2022,17,0.125,0.154,0.125,0.625,0.125
20200916,2020,17,0.125,0.125,0.125,0.125,0.125
20200916,2021,17,0.125,0.125,0.125,0.125,0.125
20201216,longer_run,16,2.5,2.492,2.0,3.0,2.5
20201216,2023,17,0.125,0.257,0.125,1.125,0.125
20201216,2022,17,0.125,0.14,0.125,0.375,0.125
20201216,2020,17,0.125,0.125,0.125,0.125,0.125
20201216,2021,17,0.125,0.125,0.125,0.125,0.125
20210317,longer_run,17,2.5,2.478,2.0,3.0,2.5
20210317,2023,18,0.125,0.403,0.125,1.125,0.125
20210317,2022,18,0.125,0.194,0.125,0.625,0.125
20210317,2021,18,0.125,0.125,0.125,0.125,0.125
20210616,longer_run,17,2.5,2.478,2.0,3.0,2.5
20210616,2023,18,0.625,0.694,0.125,1.625,0.125
20210616,2022,18,0.125,0.25,0.125,0.625,0.125
20210616,2021,18,0.125,0.125,0.125,0.125,0.125
20210922,longer_run,17,2.5,2.463,2.0,3.0,2.5
20210922,2024,18,1.75,1.639,0.625,2.625,2.125
20210922,2023,18,1.0,0.889,0.125,1.625,1.125
20210922,2022,18,0.25,0.292,0.125,0.625,0.125
20210922,2021,18,0.125,0.125,0.125,0.125,0.125
20211215,2024,18,2.125,2.312,1.875,3.125,1.875
20211215,longer_run,17,2.5,2.463,2.0,3.0,2.5
20211215,2023,18,1.625,1.653,1.125,2.125,1.375
20211215,2022,18,0.875,0.806,0.375,1.125,0.875
20211215,2021,18,0.125,0.125,0.125,0.125,0.125
20220316,2023,16,2.75,2.812,2.125,3.625,2.375
20220316,2024,16,2.75,2.789,2.125,3.625,2.375
20220316,2022,16,1.875,2.047,1.375,3.125,1.875
20220316,longer_run,15,2.375,2.425,2.0,3.0,2.25
20220615,2023,18,3.75,3.778,2.875,4.375,3.625
20220615,2024,18,3.375,3.257,2.125,4.125,3.375
20220615,2022,18,3.375,3.389,3.125,3.875,3.375
20220615,longer_run,17,2.5,2.434,2.0,3.0,2.5
20220921,2023,19,4.625,4.586,3.875,4.875,4.375
20220921,2022,19,4.375,4.257,3.875,4.625,4.375
20220921,2024,19,3.875,3.757,2.625,4.625,3.875
20220921,2025,19,2.875,3.007,2.375,4.625,2.375
20220921,longer_run,18,2.5,2.472,2.25,3.0,2.5
20221214,2023,19,5.125,5.217,4.875,5.625,5.125
20221214,2024,19,4.125,4.296,3.125,5.625,4.125
20221214,2025,19,3.125,3.322,2.375,5.625,2.625
20221214,2022,19,4.375,4.375,4.375,4.375,4.375
20221214,longer_run,18,2.5,2.507,2.25,3.25,2.5
20230322,2023,18,5.125,5.278,4.875,5.875,5.125
20230322,2024,18,4.25,4.403,3.375,5.625,4.125
20230322,2025,18,3.125,3.333,2.375,5.625,2.875
20230322,longer_run,17,2.5,2.588,2.25,3.625,2.5
20230614,2023,18,5.625,5.569,5.125,6.125,5.625
20230614,2024,18,4.625,4.75,3.625,5.875,4.375
20230614,2025,18,3.375,3.583,2.375,5.625,3.125
20230614,longer_run,17,2.5,2.662,2.375,3.625,2.5
20230920,2024,19,5.125,5.046,4.375,6.125,4.875
20230920,2023,19,5.625,5.533,5.375,5.625,5.625
20230920,2025,19,3.875,3.967,2.625,5.625,3.375
20230920,2026,19,2.875,3.224,2.375,4.875,2.625
20230920,longer_run,18,2.5,2.757,2.375,3.75,2.5
20231213,2023,19,5.375,5.375,5.375,5.375,5.375
20231213,2024,19,4.625,4.704,3.875,5.375,4.625
20231213,2025,19,3.625,3.612,2.375,5.375,3.375
20231213,2026,19,2.875,2.947,2.375,4.875,2.625
20231213,longer_run,18,2.5,2.729,2.375,3.75,2.5
20240320,2024,19,4.625,4.809,4.375,5.375,4.625
20240320,2025,19,3.875,3.783,2.625,5.375,3.875
20240320,2026,19,3.125,3.066,2.375,4.875,3.125
20240320,longer_run,18,2.5625,2.812,2.375,3.75,2.5
20240612,2024,19,5.125,5.072,4.875,5.375,4.875
20240612,2025,19,4.125,4.164,2.875,5.375,4.125
20240612,2026,19,3.125,3.296,2.375,4.875,3.125
20240612,longer_run,19,2.75,2.908,2.375,3.75,2.5
20240918,2024,19,4.375,4.507,4.125,4.875,4.375
20240918,2025,19,3.375,3.349,2.875,4.125,3.125
20240918,2026,19,2.875,3.086,2.375,3.875,2.875
20240918,2027,19,2.875,3.059,2.375,3.875,2.875
20240918,longer_run,19,2.875,2.993,2.375,3.75,2.5
20241218,2024,19,4.375,4.428,4.375,4.625,4.375
20241218,2025,19,3.875,3.836,3.125,4.375,3.875
20241218,2026,19,3.375,3.342,2.375,3.875,3.375
20241218,2027,19,3.125,3.211,2.375,3.875,3.125
20241218,longer_run,19,3.0,3.112,2.375,3.875,2.875
20250319,2025,19,3.875,4.007,3.625,4.375,3.875
20250319,2026,19,3.375,3.454,2.875,4.125,3.375
20250319,2027,19,3.125,3.243,2.625,3.875,3.125
20250319,longer_run,19,3.0,3.112,2.5,3.875,2.875
20250618,2025,19,3.875,4.059,3.625,4.375,3.875
20250618,2026,19,3.625,3.507,2.625,4.125,3.375
20250618,2027,19,3.375,3.27,2.625,3.875,3.375
20250618,longer_run,19,3.0,3.112,2.5,3.875,2.875
20250917,2025,19,3.625,3.809,2.875,4.375,3.625
20250917,2026,19,3.375,3.296,2.625,3.875,3.625
20250917,2027,19,3.125,3.151,2.375,3.875,3.125
20250917,2028,19,3.125,3.132,2.625,3.875,3.125
20250917,longer_run,19,3.0,3.118,2.625,3.875,3.0
20251210,2025,19,3.625,3.691,3.375,3.875,3.625
20251210,2026,19,3.375,3.296,2.125,3.875,3.125
20251210,2027,19,3.125,3.164,2.375,3.875,3.125
20251210,2028,19,3.125,3.145,2.625,3.875,3.125
20251210,longer_run,19,3.0,3.132,2.625,3.875,3.0
20260318,2027,19,3.125,3.191,2.375,3.875,3.125
20260318,2028,19,3.125,3.191,2.625,3.875,3.125
20260318,longer_run,19,3.125,3.164,2.625,3.875,3.0
20260318,2026,19,3.375,3.349,2.625,3.625,3.375
20260617,2026,18,3.75,3.833,3.375,4.375,3.625
20260617,2027,18,3.625,3.597,2.875,4.375,3.875
20260617,2028,17,3.375,3.419,2.875,3.875,3.125
20260617,longer_run,18,3.0625,3.208,2.875,3.875,3.0
20260916,2026,18,4.125,4.153,3.875,4.375,4.125
20260916,2027,18,4.125,4.097,3.125,4.375,4.375
20260916,2028,17,3.875,3.684,3.125,4.125,3.875
20260916,2029,17,3.625,3.478,2.875,3.875,3.625
20260916,longer_run,18,3.25,3.312,2.875,3.875,3.0
